,rada_id,full_name,party_id,64534|20223,64534|20224,64534|20225,64534|20226,64534|20227,64541|20743,64541|20568,64541|20228,64554|21182,64554|21183,64554|21184,64554|21185,64740|22036,64743|20661,64743|20662,64743|20664,64743|20665,64855|21178,64855|21179,64855|21180,64855|21181,65019|21582,65019|21583,65019|21584,65019|21585,65044|21165,65044|21166,65044|21167,65044|21168,65326|23733,65346|21635,65346|21636,65346|21637,65346|21638,65348|21663,65349|21664,65355|21665,65356|21666,64656|20083,64665|20092,64666|20093,64667|20094,64668|20095,64669|20096,64657|20084,64658|20085,64659|20086,64660|20087,64661|20088,64662|20089,64663|20090,64664|20091,65374|23902,65374|23924,65374|23925,65374|23926,65374|23927,65374|23929,64986|21559,64996|21092,65107|21383,65076|23433,65076|23434,65076|23435,65076|23436,65076|23437,65076|23438,65076|23439,65076|23440,65076|23441,65076|23442,65076|23443,65076|23444,65076|23445,65076|23446,65076|23447,65076|23449,65076|23450,65076|23451,65076|23452,65076|23453,65076|23454,65076|23455,65076|23456,65076|23457,65076|23458,65076|23459,65076|23460,65076|23461,65076|23462,65076|23463,65076|23464,65076|23465,65076|23466,65076|21474,65076|21475,65076|21476,64916|20744,64925|20745,64920|20746,64926|20747,64574|23551,64574|23552,64818|20466,64818|20467,64818|20468,64818|20469,64993|21088,65003|21089,64618|20075,64978|20888,64626|21141,64626|21142,64626|21143,64626|21144,64626|21145,64626|21146,64626|21147,64626|21148,64626|21149,64626|21150,64626|21151,64626|21152,64626|21153,64626|21154,64626|21155,64626|21156,64626|21157,64626|21158,64626|21159,64626|21160,64626|21161,64626|21162,64626|21163,64626|21164,64626|20548,64626|20552,64626|20553,64626|20554,64626|20555,64681|20550,64715|20551,64991|21009,64613|20065,64620|20064,64625|20066,64738|20471,64994|21090,65004|21091,65375|21872,65376|21873,65269|21649,65257|21650,65048|21468,65049|21469,65050|21470,65051|21471,65052|21472
374,409,Савчук Юрій Петрович,1,5.Absent,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent
375,410,Сажко Сергій Миколайович,4,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,2.No,3.Abstain,3.Abstain,3.Abstain,1.Yes,2.No,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,2.No,2.No,3.Abstain,2.No,2.No,2.No,2.No,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,3.Abstain,3.Abstain,1.Yes,1.Yes,3.Abstain,1.Yes,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,3.Abstain,3.Abstain,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,5.Absent,5.Absent,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,2.No,2.No,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,5.Absent,5.Absent,3.Abstain,3.Abstain,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,2.No,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent
376,131,Святаш Дмитро Володимирович,10,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes
377,452,Севрюков Владислав Володимирович,2,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,2.No,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain
378,320,Семенуха Роман Сергійович,3,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,3.Abstain,1.Yes,3.Abstain,3.Abstain,3.Abstain,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,5.Absent,3.Abstain,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,2.No,2.No,2.No,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,3.Abstain,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,2.No,4.Did not vote,4.Did not vote,5.Absent,5.Absent,1.Yes,1.Yes,2.No,2.No,2.No,2.No,1.Yes
379,297,Семенченко Семен Ігорович,3,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,3.Abstain,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent
380,211,Семерак Остап Михайлович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,411,Сидорович Руслан Михайлович,3,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,2.No,2.No,2.No,2.No,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,3.Abstain,3.Abstain,1.Yes,3.Abstain,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain
382,208,Сидорчук Вадим Васильович,1,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,1.Yes,1.Yes
383,361,Силантьєв Денис Олегович,5,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,2.No,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,2.No,4.Did not vote,2.No,2.No,1.Yes,1.Yes,1.Yes
384,299,Сироїд Оксана Іванівна,0,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,2.No,2.No,2.No,2.No,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,2.No,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,1.Yes,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,2.No,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,2.No,2.No,2.No,2.No,2.No,2.No,2.No,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,2.No,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes
385,318,Сисоєнко Ірина Володимирівна,3,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,2.No,2.No,2.No,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,1.Yes,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes
386,334,Скорик Микола Леонідович,4,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,2.No,2.No,2.No,2.No,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,2.No,2.No,2.No,2.No,5.Absent,5.Absent,2.No,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,2.No,2.No,5.Absent,5.Absent,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes
