,rada_id,full_name,party_id,52575|246,53636|569,53636|570,53737|571,53737|572,52368|3247,52368|3248,52368|3249,52368|3250,52368|3251,52369|1954,52371|2397,52371|2398,52371|2399,52372|1332,52373|12296,52373|12297,52373|12298,52373|12299,52373|12300,52373|12301,52373|12302,52373|12303,52373|12304,52373|12305,52373|12306,52373|12307,52373|12308,52373|12309,52373|12310,52373|12311,52373|12312,52373|12313,52373|12314,52373|10827,52373|10828,52373|10829,52373|10830,52373|10831,52373|10832,52375|605,52376|1949,52379|606,52379|607,52541|1457,52541|1458,52541|1459,52541|1460,52541|1461,52542|1462,52544|2403,52544|2404,52544|2405,52544|1476,52544|689,52544|690,52544|691,52567|765,52563|620,52563|621,52563|622,52564|764,52565|766,52566|1957,52566|1958,52566|1959,52382|1465,52384|6513,52384|6514,52387|1987,52387|1988,52387|1989,52387|1990,52388|7387,52683|949,52683|950,52683|767,52683|768,52683|769,52683|770,52683|771,52683|772,52399|1451,52400|10967,52400|10968,52400|10969,52390|1082,52393|1385,52568|734,52568|735,52568|736,52568|737,52568|738,52568|739,52394|7388,52406|9685,52406|9686,52406|9687,52406|3347,52409|3573,52409|3574,52409|3575,52409|3576,52414|699,52415|330,52416|698,52416|331,52540|332,53015|189,53079|190,52994|187,52733|731,52442|2628,52442|2629,52637|2630,52726|2631,52598|15117,52880|15118,52880|15119,52880|15120,52880|15121,52880|15122,53016|252,52666|1300,52675|62,52676|63,52677|64,52678|65,52679|66,52680|67,52681|68,52682|69,53065|291,53065|228,53065|229,53065|230,53194|10594,53194|10595,53194|10596,53194|10597,53194|1661,53194|1662,53194|1663,53134|5026,53134|5027,53134|5028,53134|1387,52991|277,52991|215,53003|278,53099|5647,53099|5648,53099|3048,53099|3049,53099|2239,53099|2240,53099|2241,53099|2242,53099|2243,53099|2244,53099|2245,53099|2246,53099|2247,53099|2248,53099|2249,53099|2250,53099|2251,53099|2252,53099|2253,53099|2254,53099|2255,53099|2256,53099|2257,53099|1469,53099|1470,53099|1471,53099|1472,53099|1473,53755|799,53755|801,53755|543,53755|546,53755|547,53755|548,53755|552,53567|1839,53471|369,53472|370,53721|3525,53721|3526,53721|3527,53721|3528,53721|3529,53721|3530,53721|1192,53721|1193
377,452,Севрюков Владислав Володимирович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,320,Семенуха Роман Сергійович,3,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,2.No,2.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,5.Absent,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote
379,297,Семенченко Семен Ігорович,3,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,3.Abstain,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote
380,211,Семерак Остап Михайлович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote
381,411,Сидорович Руслан Михайлович,3,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,5.Absent,1.Yes,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,3.Abstain,3.Abstain,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,1.Yes,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent
382,208,Сидорчук Вадим Васильович,1,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes
383,361,Силантьєв Денис Олегович,5,5.Absent,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,2.No,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,5.Absent,4.Did not vote,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,2.No,1.Yes,1.Yes,1.Yes,2.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,4.Did not vote,4.Did not vote
384,299,Сироїд Оксана Іванівна,0,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote
385,318,Сисоєнко Ірина Володимирівна,3,1.Yes,4.Did not vote,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,4.Did not vote,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,4.Did not vote,4.Did not vote,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,2.No,2.No,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote
386,334,Скорик Микола Леонідович,4,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,5.Absent,1.Yes,1.Yes,1.Yes,5.Absent,2.No,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,4.Did not vote,4.Did not vote,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,2.No,4.Did not vote,4.Did not vote,5.Absent,3.Abstain,3.Abstain,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,4.Did not vote,4.Did not vote,5.Absent,5.Absent,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,4.Did not vote,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes
387,298,Скрипник Олексій Олексійович,3,1.Yes,4.Did not vote,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,2.No,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,3.Abstain,3.Abstain,3.Abstain,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,4.Did not vote,1.Yes,3.Abstain,1.Yes,1.Yes,1.Yes,3.Abstain,4.Did not vote,3.Abstain,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,4.Did not vote,3.Abstain,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,5.Absent,1.Yes,1.Yes,4.Did not vote,1.Yes,1.Yes,1.Yes,5.Absent,4.Did not vote,1.Yes,1.Yes,4.Did not vote,4.Did not vote,4.Did not vote,4.Did not vote,1.Yes,1.Yes,1.Yes,1.Yes
